,obj,en_ngram_freq_1999_undivided,en_ngram_freq_1999_divided,en_ngram_freq_2019_undivided,en_ngram_1999_undivided,en_ngram_1999_divided,en_ngram_2019_undivided,en_survey_nontrans,ch_survey_nontrans,en_survey_raw,ch_survey_raw,en_ch_survey_raw,en_zipf,ch_zipf,en_survey_raw_sort,ch_survey_raw_sort
2,3,1.3899999999999999e-08,1.3899999999999999e-08,6.929999999999999e-08,2.0442878039554464e-05,8.374240594944611e-05,8.391061739325427e-05,0.01655512504402959,0.017702575165161116,2.938,2.564,0.373,0.0071943093368619995,0.012686219983561002,35,23
17,18,2.8600000000000004e-05,3.17e-06,4.26366e-05,0.042062324599371065,0.01909808826329095,0.051625734914130236,0.013384994716449454,0.013806121073210192,2.375,2.0,0.375,0.005179902722540999,0.006343109991781001,45,48
27,28,6.35e-06,1.27e-06,6.359199999999999e-06,0.009339012629580637,0.007651284572359465,0.007699919164894409,0.014793941528707291,0.015302683025482001,2.625,2.217,0.4082,0.005886253093796,0.007462482343271,40,39
10,11,6.590000000000001e-07,6.590000000000001e-07,5.766e-07,0.0009691983185659275,0.003970233490696762,0.0006981653966659512,0.017259598450158505,0.018309289470136172,3.062,2.652,0.4102,0.00809359800397,0.015857774979451,30,17
44,45,1.1900000000000001e-07,1.1900000000000001e-07,6.59e-08,0.00017501456738899148,0.0007169313890636035,7.97937905658796e-05,0.017611835153222965,0.018309289470136172,3.125,2.652,0.4727,0.008633171204234001,0.015857774979451,28,16
52,53,1.71e-07,1.71e-07,1.812e-07,0.00025149152120602973,0.0010302123321838336,0.00021940265327067353,0.01620288834096513,0.01590939733045706,2.875,2.305,0.5703,0.006815661477027,0.008457479989040999,36,35
41,42,1.89e-05,9.43e-06,2.81059e-05,0.027796431291192757,0.05681229410814941,0.03403150680220874,0.01549841493483621,0.0147094512606175,2.75,2.13,0.619,0.006166550860167,0.006676957886085,38,45
56,57,6.85e-07,6.85e-07,2.306e-07,0.0010074367954744465,0.004126873962256877,0.0002792177254095878,0.019725255371609723,0.019805851422407983,3.5,2.87,0.631,0.014388618673723999,0.031715549958903,16,7
16,17,2.3e-06,7.68e-07,1.4662e-06,0.0033826344957536164,0.004626918544544936,0.0017753210277343353,0.01655512504402959,0.01590939733045706,2.938,2.305,0.633,0.0071943093368619995,0.008457479989040999,33,33
43,44,5.2699999999999995e-08,5.2699999999999995e-08,1.153e-07,7.750645127226764e-05,0.00031749818658531007,0.0001396088627047939,0.018316308559351884,0.017702575165161116,3.25,2.564,0.6855,0.009961351389501,0.012686219983561002,23,24
29,30,2.8600000000000004e-05,3.17e-06,4.26366e-05,0.042062324599371065,0.01909808826329095,0.051625734914130236,0.019373018668545263,0.018902521235000674,3.438,2.738,0.699,0.012949756806351003,0.021143699972602004,17,12
30,31,2.8600000000000004e-05,3.17e-06,4.26366e-05,0.042062324599371065,0.01909808826329095,0.051625734914130236,0.017259598450158505,0.01590939733045706,3.062,2.305,0.758,0.00809359800397,0.008457479989040999,29,37
15,16,2.65e-05,2.94e-06,2.6936199999999998e-05,0.03897383223368297,0.017712422553336084,0.032615197290449864,0.016907361747094046,0.015302683025482001,3.0,2.217,0.783,0.007617504003736,0.007462482343271,31,40
13,14,2.8600000000000004e-05,3.17e-06,4.26366e-05,0.042062324599371065,0.01909808826329095,0.051625734914130236,0.017964071856287425,0.01620601321288931,3.188,2.348,0.84,0.009249826290251,0.009061585702544001,26,30
42,43,2.23e-06,2.23e-06,2.4053e-06,0.00327968475023068,0.013434932753040635,0.0029124128140836153,0.019020781965480803,0.017405959282728867,3.375,2.521,0.8535,0.011772506187592,0.011532927257783002,18,26
7,8,2.1100000000000002e-07,2.1100000000000002e-07,2.471e-07,0.00031031994721913617,0.0012711976730455491,0.0002991964438365531,0.01585065163790067,0.013502763920722664,2.812,1.956,0.8564,0.006474878403175999,0.006041057135029,37,51
32,33,6.35e-06,1.27e-06,6.359199999999999e-06,0.009339012629580637,0.007651284572359465,0.007699919164894409,0.018668545262416344,0.016502629095321558,3.312,2.39,0.922,0.010791464005293001,0.009758630756585,21,29
23,24,8.113e-06,2.7e-06,7.644299999999999e-06,0.0119318755061083,0.016266510508165792,0.009255958622500051,0.01655512504402959,0.013806121073210192,2.938,2.0,0.9375,0.0071943093368619995,0.006343109991781001,32,49
6,7,2.8600000000000004e-05,3.17e-06,4.26366e-05,0.042062324599371065,0.01909808826329095,0.051625734914130236,0.018316308559351884,0.01590939733045706,3.25,2.305,0.9453,0.009961351389501,0.008457479989040999,24,34
4,5,3.65e-06,3.65e-06,3.2068e-06,0.005368093873695957,0.021989912353631534,0.0038828941970662023,0.020781965480803098,0.018902521235000674,3.688,2.738,0.949,0.021582928010586002,0.021143699972602004,12,13
26,27,2.16e-06,2.16e-06,2.0758e-06,0.003176735004707744,0.013013208406532634,0.002513443861254217,0.021134202183867558,0.01921261965754348,3.75,2.783,0.967,0.025899513612703002,0.025372439967122004,10,11
3,4,5.69e-07,5.69e-07,2.6e-07,0.0008368343600364381,0.0034280164737579017,0.00031481616915218053,0.017964071856287425,0.015302683025482001,3.188,2.217,0.9707,0.009249826290251,0.007462482343271,25,41
47,48,2.65e-05,2.94e-06,2.6936199999999998e-05,0.03897383223368297,0.017712422553336084,0.032615197290449864,0.020429728777738642,0.018309289470136172,3.625,2.652,0.9727,0.018499652580502,0.015857774979451,14,20
35,36,1.32e-06,1.32e-06,1.7681e-06,0.0019413380584325103,0.00795251624843661,0.0021408710333768095,0.020781965480803098,0.018605905352568425,3.688,2.695,0.992,0.021582928010586002,0.018123171405086996,13,15
18,19,2.8600000000000004e-05,3.17e-06,4.26366e-05,0.042062324599371065,0.01909808826329095,0.051625734914130236,0.021838675589996477,0.019805851422407983,3.875,2.87,1.006,0.043165856021171,0.031715549958903,8,9
12,13,2.3e-06,7.68e-07,1.4662e-06,0.0033826344957536164,0.004626918544544936,0.0017753210277343353,0.017964071856287425,0.0147094512606175,3.188,2.13,1.057,0.009249826290251,0.006676957886085,27,47
37,38,2.8600000000000004e-05,3.17e-06,4.26366e-05,0.042062324599371065,0.01909808826329095,0.051625734914130236,0.021838675589996477,0.01921261965754348,3.875,2.783,1.092,0.043165856021171,0.025372439967122004,6,10
28,29,2.3e-06,7.68e-07,1.4662e-06,0.0033826344957536164,0.004626918544544936,0.0017753210277343353,0.021134202183867558,0.017702575165161116,3.75,2.564,1.186,0.025899513612703002,0.012686219983561002,11,25
59,60,1.9e-06,1.9e-06,2.7733999999999996e-06,0.002794350235622553,0.011446803690931484,0.0033581198597179133,0.02465656921451215,0.021612511797222598,4.375,3.13,1.244,0.129497568063513,0.04228739994520401,1,4
55,56,2.0399999999999998e-05,2.0399999999999998e-05,2.2834000000000002e-05,0.030002497266684247,0.12290252383947486,0.027648124640080353,0.023599859105318775,0.019805851422407983,4.188,2.87,1.318,0.064748784031757,0.031715549958903,2,8
24,25,1.32e-08,6.6e-09,0.0,1.9413380584325104e-05,3.976258124218305e-05,0.0,0.023599859105318775,0.019805851422407983,4.188,2.87,1.318,0.064748784031757,0.031715549958903,4,6
9,10,4.74e-07,4.74e-07,5.931e-07,0.0006971168482553105,0.0028556762892113278,0.0007181441150929165,0.018668545262416344,0.013502763920722664,3.312,1.956,1.356,0.010791464005293001,0.006041057135029,22,50
5,6,2.65e-05,2.94e-06,2.6936199999999998e-05,0.03897383223368297,0.017712422553336084,0.032615197290449864,0.018668545262416344,0.013206148038290413,3.312,1.913,1.399,0.010791464005293001,0.0057664636288909995,20,54
33,34,2.8600000000000004e-05,3.17e-06,4.26366e-05,0.042062324599371065,0.01909808826329095,0.051625734914130236,0.023599859105318775,0.018902521235000674,4.188,2.738,1.449,0.064748784031757,0.021143699972602004,5,14
8,9,2.65e-05,2.94e-06,2.6936199999999998e-05,0.03897383223368297,0.017712422553336084,0.032615197290449864,0.021838675589996477,0.01500606714304975,3.875,2.174,1.701,0.043165856021171,0.007047899990866999,7,43
54,55,6.35e-06,1.27e-06,6.359199999999999e-06,0.009339012629580637,0.007651284572359465,0.007699919164894409,0.023599859105318775,0.01590939733045706,4.188,2.305,1.883,0.064748784031757,0.008457479989040999,3,36
48,49,6.35e-06,1.27e-06,6.359199999999999e-06,0.009339012629580637,0.007651284572359465,0.007699919164894409,0.021486438886932017,0.012006201968450855,3.812,1.739,2.074,0.032374392015878,0.005074487993424,9,59
